filename,width,height,class,xmin,ymin,xmax,ymax
agri_0_3680_jpeg.rf.b493bbeaabda4cb213c383e2202532d2.jpg,832,832,weed,107,28,733,546
agri_0_3720_jpeg.rf.4cc25accbade3a028f9f59f00bd435c0.jpg,832,832,crop,361,509,421,581
agri_0_3720_jpeg.rf.4cc25accbade3a028f9f59f00bd435c0.jpg,832,832,crop,244,546,306,618
agri_0_3720_jpeg.rf.4cc25accbade3a028f9f59f00bd435c0.jpg,832,832,crop,295,510,360,579
agri_0_3720_jpeg.rf.4cc25accbade3a028f9f59f00bd435c0.jpg,832,832,crop,40,451,220,559
agri_0_3720_jpeg.rf.4cc25accbade3a028f9f59f00bd435c0.jpg,832,832,crop,361,170,456,276
agri_0_3720_jpeg.rf.4cc25accbade3a028f9f59f00bd435c0.jpg,832,832,crop,487,248,552,322
agri_0_3720_jpeg.rf.4cc25accbade3a028f9f59f00bd435c0.jpg,832,832,crop,415,321,473,401
agri_0_3720_jpeg.rf.4cc25accbade3a028f9f59f00bd435c0.jpg,832,832,crop,509,84,561,141
agri_0_3720_jpeg.rf.4cc25accbade3a028f9f59f00bd435c0.jpg,832,832,crop,444,670,583,824
agri_0_3720_jpeg.rf.4cc25accbade3a028f9f59f00bd435c0.jpg,832,832,crop,245,692,358,825
agri_0_151_jpeg.rf.5ad9b8e4b4d8b71a42dd51b27242f7b8.jpg,832,832,weed,241,280,520,480
agri_0_151_jpeg.rf.5ad9b8e4b4d8b71a42dd51b27242f7b8.jpg,832,832,weed,446,563,718,814
agri_0_1499_jpeg.rf.7a518dd10032d1aa053069c375d83d3b.jpg,832,832,crop,488,166,536,218
agri_0_1499_jpeg.rf.7a518dd10032d1aa053069c375d83d3b.jpg,832,832,crop,537,22,614,90
agri_0_1499_jpeg.rf.7a518dd10032d1aa053069c375d83d3b.jpg,832,832,crop,701,424,760,481
agri_0_1499_jpeg.rf.7a518dd10032d1aa053069c375d83d3b.jpg,832,832,crop,749,503,807,567
agri_0_1499_jpeg.rf.7a518dd10032d1aa053069c375d83d3b.jpg,832,832,crop,617,455,691,556
agri_0_1499_jpeg.rf.7a518dd10032d1aa053069c375d83d3b.jpg,832,832,crop,264,269,326,329
agri_0_1499_jpeg.rf.7a518dd10032d1aa053069c375d83d3b.jpg,832,832,crop,19,89,159,182
agri_0_1499_jpeg.rf.7a518dd10032d1aa053069c375d83d3b.jpg,832,832,crop,252,548,384,749
agri_0_1499_jpeg.rf.7a518dd10032d1aa053069c375d83d3b.jpg,832,832,crop,132,471,245,536
agri_0_1499_jpeg.rf.7a518dd10032d1aa053069c375d83d3b.jpg,832,832,crop,0,250,19,295
agri_0_1499_jpeg.rf.7a518dd10032d1aa053069c375d83d3b.jpg,832,832,crop,86,202,141,250
agri_0_3983_jpeg.rf.570a30380c976b2bf790eed5b74ca90c.jpg,832,832,crop,155,39,687,802
agri_0_3744_jpeg.rf.035a6de76fa95800ba516b40e380c2c7.jpg,832,832,weed,228,151,703,755
agri_0_4214_jpeg.rf.90c63e25bb802e405b02f554827be592.jpg,832,832,crop,273,293,594,638
agri_0_4214_jpeg.rf.90c63e25bb802e405b02f554827be592.jpg,832,832,crop,652,52,832,526
agri_0_4214_jpeg.rf.90c63e25bb802e405b02f554827be592.jpg,832,832,crop,66,0,760,232
agri_0_1677_jpeg.rf.6dd73faf8c58487934a7f44e8d263d87.jpg,832,832,weed,35,39,707,773
agri_0_1677_jpeg.rf.6dd73faf8c58487934a7f44e8d263d87.jpg,832,832,weed,490,593,786,832
agri_0_417_jpeg.rf.17c724ab10fa617d3a53b98e26fd6440.jpg,832,832,weed,0,78,832,794
agri_0_1729_jpeg.rf.54a8faaa766638803a61648826ea5102.jpg,832,832,weed,86,0,832,721
agri_0_3473_jpeg.rf.337dbc554526498e974694282e66ea5b.jpg,832,832,weed,146,2,806,749
agri_0_3690_jpeg.rf.9a0493898c59d61f829c960f63bcea04.jpg,832,832,weed,0,214,832,832
agri_0_3990_jpeg.rf.d9dfcb43af08c892338ff91800b814d2.jpg,832,832,weed,44,52,649,624
agri_0_3569_jpeg.rf.e02606c72c8042d5cde036c73f357eae.jpg,832,832,crop,11,142,515,719
agri_0_3569_jpeg.rf.e02606c72c8042d5cde036c73f357eae.jpg,832,832,crop,398,257,832,787
agri_0_4118_jpeg.rf.8c1a0f6e50e43512bbfe063485dfdf1c.jpg,832,832,weed,47,36,681,660
agri_0_3471_jpeg.rf.2074a26ff9ef20997920bea308ea5eb8.jpg,832,832,crop,56,85,696,517
agri_0_3471_jpeg.rf.2074a26ff9ef20997920bea308ea5eb8.jpg,832,832,crop,304,499,496,674
agri_0_376_jpeg.rf.41b1efc39d907818a66e898063bcf270.jpg,832,832,crop,39,62,787,801
agri_0_376_jpeg.rf.41b1efc39d907818a66e898063bcf270.jpg,832,832,crop,364,560,775,832
agri_0_3657_jpeg.rf.0a38d95ed8caaaa465aa02515cb55c31.jpg,832,832,crop,0,97,802,832
agri_0_3860_jpeg.rf.0d2ab6b497dbe31708036715944051e9.jpg,832,832,weed,356,330,832,648
agri_0_3860_jpeg.rf.0d2ab6b497dbe31708036715944051e9.jpg,832,832,weed,254,10,829,312
agri_0_3860_jpeg.rf.0d2ab6b497dbe31708036715944051e9.jpg,832,832,weed,55,304,330,832
agri_0_3679_jpeg.rf.8b4e900c8b2aae846b8e167e46dcf029.jpg,832,832,weed,153,162,692,647
agri_0_4064_jpeg.rf.582658689191a7fb55229ec9454d2cba.jpg,832,832,weed,25,22,752,752
agri_0_3667_jpeg.rf.944b7912a64e9dc1337b6653849e3706.jpg,832,832,weed,127,45,723,813
agri_0_3666_jpeg.rf.5424846333bf2fabca37e816ece25476.jpg,832,832,weed,159,141,664,699
agri_0_3856_jpeg.rf.bc1c2b8cc27dabd4b31a36a55f4a1403.jpg,832,832,weed,143,208,676,592
agri_0_3880_jpeg.rf.9960231eefd71e606a7a8bdf1ca012ca.jpg,832,832,weed,86,192,709,650
agri_0_347_jpeg.rf.706ddcdd682907d1e5d0935c77048346.jpg,832,832,weed,70,88,786,647
agri_0_3949_jpeg.rf.9cee416df39c38c40c446fbc2a3974f2.jpg,832,832,weed,76,160,792,648
agri_0_3900_jpeg.rf.b1edb72e84c75a75add231b87b958a54.jpg,832,832,weed,78,86,786,832
agri_0_3690_jpeg.rf.ddf485532607301e8f17a73ac5f4c919.jpg,832,832,weed,2,242,824,832
agri_0_3842_jpeg.rf.9cc5e01ebd486971edd02b9a832032d8.jpg,832,832,weed,239,239,673,452
agri_0_3983_jpeg.rf.d62823c66b14b7838cbec5ce6594a96f.jpg,832,832,crop,165,42,660,781
agri_0_4017_jpeg.rf.93c28a1daf45d0bb9309231927bd1a32.jpg,832,832,crop,170,0,764,786
agri_0_4209_jpeg.rf.b22d8fa75661b518ae772328f80eeafa.jpg,832,832,crop,15,63,809,758
agri_0_4125_jpeg.rf.acd29944161bd31181b04ab4b883fd5d.jpg,832,832,crop,40,33,719,832
agri_0_4237_jpeg.rf.a5c884ff89090ad533496dfbf24d9af8.jpg,832,832,crop,0,0,832,832
agri_0_3492_jpeg.rf.71ec98343526e23694cc3d0e75905150.jpg,832,832,weed,136,136,733,655
